"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1554","Check displaying of empty courses list","tests.courses","Sat Mar 28 16:04:12 UTC 2026","passed","Sat Mar 28 16:04:14 UTC 2026","TestCourses","test_courses","",""
"","1892","Check registration with correct email, username and password","tests.authentication","Sat Mar 28 16:04:00 UTC 2026","passed","Sat Mar 28 16:04:02 UTC 2026","TestRegistration","test_registration","",""
"","1713","Check login with wrong email or password","tests.authentication","Sat Mar 28 16:03:34 UTC 2026","passed","Sat Mar 28 16:03:36 UTC 2026","TestAuthorization","test_authorization","",""
"","2814","Check create course","tests.courses","Sat Mar 28 16:04:04 UTC 2026","passed","Sat Mar 28 16:04:07 UTC 2026","TestCourses","test_courses","",""
"","2722","Check create course","tests.courses","Sat Mar 28 16:04:02 UTC 2026","passed","Sat Mar 28 16:04:05 UTC 2026","TestCourses","test_courses","",""
"","2215","Check displaying of dashboard page","tests.dashboard","Sat Mar 28 16:04:20 UTC 2026","passed","Sat Mar 28 16:04:22 UTC 2026","TestDashboard","test_dashboard","",""
"","2124","Check login with wrong email or password","tests.authentication","Sat Mar 28 16:03:27 UTC 2026","passed","Sat Mar 28 16:03:29 UTC 2026","TestAuthorization","test_authorization","",""
"","3426","Check edit course","tests.courses","Sat Mar 28 16:04:14 UTC 2026","passed","Sat Mar 28 16:04:17 UTC 2026","TestCourses","test_courses","",""
"","2169","Check navigation from login page to registration page ","tests.authentication","Sat Mar 28 16:03:51 UTC 2026","passed","Sat Mar 28 16:03:54 UTC 2026","TestAuthorization","test_authorization","",""
"","3001","Check create course","tests.courses","Sat Mar 28 16:04:07 UTC 2026","passed","Sat Mar 28 16:04:10 UTC 2026","TestCourses","test_courses","",""
"","3616","Check edit course","tests.courses","Sat Mar 28 16:04:19 UTC 2026","passed","Sat Mar 28 16:04:23 UTC 2026","TestCourses","test_courses","",""
"","5163","Check edit course","tests.courses","Sat Mar 28 16:04:14 UTC 2026","passed","Sat Mar 28 16:04:19 UTC 2026","TestCourses","test_courses","",""
"","1628","Check login with wrong email or password","tests.authentication","Sat Mar 28 16:03:39 UTC 2026","passed","Sat Mar 28 16:03:41 UTC 2026","TestAuthorization","test_authorization","",""
"","2567","Check displaying of dashboard page","tests.dashboard","Sat Mar 28 16:04:24 UTC 2026","passed","Sat Mar 28 16:04:27 UTC 2026","TestDashboard","test_dashboard","",""
"","2315","Check login with wrong email or password","tests.authentication","Sat Mar 28 16:03:51 UTC 2026","passed","Sat Mar 28 16:03:53 UTC 2026","TestAuthorization","test_authorization","",""
"","1740","Check displaying of empty courses list","tests.courses","Sat Mar 28 16:04:11 UTC 2026","passed","Sat Mar 28 16:04:13 UTC 2026","TestCourses","test_courses","",""
"","2047","Check displaying of dashboard page","tests.dashboard","Sat Mar 28 16:04:25 UTC 2026","passed","Sat Mar 28 16:04:27 UTC 2026","TestDashboard","test_dashboard","",""
"","4136","Check login with correct email and password","tests.authentication","Sat Mar 28 16:03:44 UTC 2026","passed","Sat Mar 28 16:03:48 UTC 2026","TestAuthorization","test_authorization","",""
"","1908","Check login with wrong email or password","tests.authentication","Sat Mar 28 16:03:30 UTC 2026","passed","Sat Mar 28 16:03:32 UTC 2026","TestAuthorization","test_authorization","",""
"","1653","Check navigation from login page to registration page ","tests.authentication","Sat Mar 28 16:03:56 UTC 2026","passed","Sat Mar 28 16:03:58 UTC 2026","TestAuthorization","test_authorization","",""
"","8799","Check login with correct email and password","tests.authentication","Sat Mar 28 16:03:34 UTC 2026","passed","Sat Mar 28 16:03:42 UTC 2026","TestAuthorization","test_authorization","",""
"","1788","Check login with wrong email or password","tests.authentication","Sat Mar 28 16:03:37 UTC 2026","passed","Sat Mar 28 16:03:38 UTC 2026","TestAuthorization","test_authorization","",""
"","2028","Check registration with correct email, username and password","tests.authentication","Sat Mar 28 16:03:54 UTC 2026","passed","Sat Mar 28 16:03:57 UTC 2026","TestRegistration","test_registration","",""
"","1798","Check navigation from login page to registration page ","tests.authentication","Sat Mar 28 16:03:54 UTC 2026","passed","Sat Mar 28 16:03:56 UTC 2026","TestAuthorization","test_authorization","",""
"","2171","Check registration with correct email, username and password","tests.authentication","Sat Mar 28 16:03:57 UTC 2026","passed","Sat Mar 28 16:03:59 UTC 2026","TestRegistration","test_registration","",""
"","3684","Check login with correct email and password","tests.authentication","Sat Mar 28 16:03:27 UTC 2026","passed","Sat Mar 28 16:03:31 UTC 2026","TestAuthorization","test_authorization","",""
"","1390","Check displaying of empty courses list","tests.courses","Sat Mar 28 16:04:08 UTC 2026","passed","Sat Mar 28 16:04:09 UTC 2026","TestCourses","test_courses","",""
"","1682","Check login with wrong email or password","tests.authentication","Sat Mar 28 16:03:32 UTC 2026","passed","Sat Mar 28 16:03:34 UTC 2026","TestAuthorization","test_authorization","",""
"","2214","Check login with wrong email or password","tests.authentication","Sat Mar 28 16:03:43 UTC 2026","passed","Sat Mar 28 16:03:45 UTC 2026","TestAuthorization","test_authorization","",""
"","1874","Check login with wrong email or password","tests.authentication","Sat Mar 28 16:03:47 UTC 2026","passed","Sat Mar 28 16:03:49 UTC 2026","TestAuthorization","test_authorization","",""
